source_dataset,source_id,lookup_key,food_name_en,food_name_zh,food_name_fr,carbon_factor_kgco2e_per_kg,carbon_unit,source_year,source_name_raw
foodcarbon,9086,asian_noodles_plain_cooked_unsalted,"Asian noodles, plain, cooked, unsalted",,"Nouilles asiatiques cuites, nature, non salées",1.490000,kgCO2e/kg_product,,"Nouilles asiatiques cuites, nature, non salées"
foodcarbon,20001,asparagus_boiled_cooked_in_water,"Asparagus, boiled/cooked in water",,"Asperge, bouillie/cuite à l'eau",2.860000,kgCO2e/kg_product,,"Asperge, bouillie/cuite à l'eau"
foodcarbon,20076,asparagus_canned_drained,"Asparagus, canned, drained",,"Asperge, appertisée, égouttée",2.130000,kgCO2e/kg_product,,"Asperge, appertisée, égouttée"
foodcarbon,20279,asparagus_green_raw,"Asparagus, green, raw",,"Asperge, verte, crue",1.640000,kgCO2e/kg_product,,"Asperge, verte, crue"
foodcarbon,20073,asparagus_peeled_raw,"Asparagus, peeled, raw",,"Asperge, pelée, crue",1.510000,kgCO2e/kg_product,,"Asperge, pelée, crue"
foodcarbon,20282,asparagus_white_or_purple_peeled_raw,"Asparagus, white or purple, peeled, raw",,"Asperge, blanche ou violette, pelée, crue",1.640000,kgCO2e/kg_product,,"Asperge, blanche ou violette, pelée, crue"
foodcarbon,26075,atlantic_bass_raw,"Atlantic bass, raw",,"Bar ou loup de l'Atlantique, cru",12.300000,kgCO2e/kg_product,,"Bar ou loup de l'Atlantique, cru"
foodcarbon,26102,atlantic_chub_mackerel_raw,"Atlantic chub mackerel, raw",,"Maquereau espagnol ou maquereau blanc ou billard, cru",2.620000,kgCO2e/kg_product,,"Maquereau espagnol ou maquereau blanc ou billard, cru"
foodcarbon,26009,atlantic_halibut_raw,"Atlantic halibut, raw",,"Flétan de l'Atlantique ou flétan blanc, cru",4.690000,kgCO2e/kg_product,,"Flétan de l'Atlantique ou flétan blanc, cru"
foodcarbon,26012,atlantic_herring_fried,"Atlantic herring, fried",,"Hareng, frit",3.400000,kgCO2e/kg_product,,"Hareng, frit"
foodcarbon,26014,atlantic_herring_grilled_pan_fried,"Atlantic herring, grilled/pan-fried",,"Hareng, grillé/poêlé",3.400000,kgCO2e/kg_product,,"Hareng, grillé/poêlé"
foodcarbon,26237,atlantic_herring_lean_raw,"Atlantic herring, lean, raw",,"Hareng maigre, cru",2.680000,kgCO2e/kg_product,,"Hareng maigre, cru"
foodcarbon,26010,atlantic_herring_marinated_or_rollmops,"Atlantic herring, marinated, or rollmops",,Hareng mariné ou rollmops,2.780000,kgCO2e/kg_product,,Hareng mariné ou rollmops
foodcarbon,26238,atlantic_herring_oily_raw,"Atlantic herring, oily, raw",,"Hareng gras, cru",2.680000,kgCO2e/kg_product,,"Hareng gras, cru"
foodcarbon,26011,atlantic_herring_raw,"Atlantic herring, raw",,"Hareng, cru",2.680000,kgCO2e/kg_product,,"Hareng, cru"
foodcarbon,25998,atlantic_herring_smoked_fillet_packaging_fixed,"Atlantic herring, smoked, fillet (packaging fixed)",,"Hareng fumé, filet, doux (emballage corrigé)",3.170000,kgCO2e/kg_product,,"Hareng fumé, filet, doux (emballage corrigé)"
foodcarbon,26232,atlantic_herring_smoked_in_oil_packaging_fixed,"Atlantic herring, smoked, in oil (packaging fixed)",,"Hareng fumé, à l'huile (emballage corrigé)",3.170000,kgCO2e/kg_product,,"Hareng fumé, à l'huile (emballage corrigé)"
foodcarbon,26013,atlantic_herring_smoked_plain_packaging_fixed,"Atlantic herring, smoked, plain (packaging fixed)",,"Hareng fumé, au naturel (emballage corrigé)",3.170000,kgCO2e/kg_product,,"Hareng fumé, au naturel (emballage corrigé)"
foodcarbon,20999,atlantic_wakame_alaria_esculenta_dried_or_dehydrated,"Atlantic wakame (Alaria esculenta), dried or dehydrated",,"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée",11.600000,kgCO2e/kg_product,,"Wakamé atlantique (Alaria esculenta), séchée ou déshydratée"
foodcarbon,12521,auvergne_blue_cheese_from_cow_s_milk,"Auvergne blue cheese, from cow's milk",,Fromage bleu d'Auvergne,5.940000,kgCO2e/kg_product,,Fromage bleu d'Auvergne
foodcarbon,17100,avocado_oil,Avocado oil,,Huile d'avocat,5.840000,kgCO2e/kg_product,,Huile d'avocat
foodcarbon,13004,avocado_pulp_raw,"Avocado, pulp, raw",,"Avocat, pulpe, cru",1.550000,kgCO2e/kg_product,,"Avocat, pulpe, cru"
foodcarbon,13157,baby_food_jar_with_banana,Baby food jar with banana,,Petit pot fruit avec banane pour bébé,1.570000,kgCO2e/kg_product,,Petit pot fruit avec banane pour bébé
foodcarbon,20247,baby_food_jar_with_vegetables_and_starch_from_4_6_months,"Baby food jar with vegetables and starch, from 4-6 months",,"Petit pot légumes, avec féculent, dès 4/6 mois",1.210000,kgCO2e/kg_product,,"Petit pot légumes, avec féculent, dès 4/6 mois"
foodcarbon,20246,baby_food_jar_with_vegetables_from_4_6_months,"Baby food jar with vegetables, from 4-6 months",,"Petit pot légumes, dès 4-6 mois",1.210000,kgCO2e/kg_product,,"Petit pot légumes, dès 4-6 mois"
foodcarbon,13158,baby_food_jar_without_banana,Baby food jar without banana,,Petit pot fruit sans banane pour bébé,1.570000,kgCO2e/kg_product,,Petit pot fruit sans banane pour bébé
foodcarbon,3000_1,baby_milk_first_age_powder_non_rehydrated,"Baby milk, first age, powder, non rehydrated",,"Lait 1er âge, poudre soluble (préparation pour nourrissons)",8.050000,kgCO2e/kg_product,,"Lait 1er âge, poudre soluble (préparation pour nourrissons)"
foodcarbon,3000_2,baby_milk_first_age_powder_rehydrated_at_consumer,"Baby milk, first age, powder, rehydrated at consumer",,"Lait 1er âge, poudre soluble (préparation pour nourrissons), réhydratée chez le consommateur",1.090000,kgCO2e/kg_product,,"Lait 1er âge, poudre soluble (préparation pour nourrissons), réhydratée chez le consommateur"
foodcarbon,19013,baby_milk_first_milk_ready_to_feed,"Baby milk, first milk, ready to feed",,"Lait 1er âge, prêt à consommer (préparation pour nourrissons)",0.795000,kgCO2e/kg_product,,"Lait 1er âge, prêt à consommer (préparation pour nourrissons)"
foodcarbon,19014,baby_milk_follow_on_milk_ready_to_feed,"Baby milk, follow on milk, ready to feed",,"Lait 2e âge, prêt à consommer (préparation pour nourrissons)",0.795000,kgCO2e/kg_product,,"Lait 2e âge, prêt à consommer (préparation pour nourrissons)"
foodcarbon,19012_2,baby_milk_growing_up_milk_powder_rehydrated_with_water_at_consumer_step,"Baby milk, growing up milk, powder, rehydrated with water at consumer step",,"Lait de croissance infantile, poudre (réhydratée chez le consommateur)",1.090000,kgCO2e/kg_product,,"Lait de croissance infantile, poudre (réhydratée chez le consommateur)"
foodcarbon,19012_1,baby_milk_growing_up_milk_ready_to_feed,"Baby milk, growing up milk, ready to feed",,"Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)",0.683000,kgCO2e/kg_product,,"Lait de croissance infantile, liquide (aliment lacté destiné aux enfants en bas âge)"
foodcarbon,3002_1,baby_milk_second_age_powder_non_rehydrated,"Baby milk, second age, powder, non rehydrated",,"Lait 2e âge, poudre soluble (préparation de suite)",8.050000,kgCO2e/kg_product,,"Lait 2e âge, poudre soluble (préparation de suite)"
foodcarbon,3002_2,baby_milk_second_age_powder_rehydrated_at_consumer,"Baby milk, second age, powder, rehydrated at consumer",,"Lait 2e âge, poudre soluble (préparation de suite), réhydratée chez le consommateur",1.090000,kgCO2e/kg_product,,"Lait 2e âge, poudre soluble (préparation de suite), réhydratée chez le consommateur"
foodcarbon,28727,bacon_back,"Bacon, back",,Filet de bacon,8.360000,kgCO2e/kg_product,,Filet de bacon
foodcarbon,7258,bagel,Bagel,,Bagel,1.140000,kgCO2e/kg_product,,Bagel
foodcarbon,39518,baked_alaska,baked Alaska,,Omelette norvégienne,2.220000,kgCO2e/kg_product,,Omelette norvégienne
foodcarbon,11046,baking_powder_or_raising_agent,Baking powder or raising agent,,Levure chimique ou Poudre à lever,2.110000,kgCO2e/kg_product,,Levure chimique ou Poudre à lever
foodcarbon,23300,baklava_oriental_pastry_with_almonds_and_syrup,Baklava (oriental pastry with almonds and syrup),,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop),3.020000,kgCO2e/kg_product,,Baklava ou Baklawa (pâtisserie orientale aux amandes et sirop)
foodcarbon,20188,bamboo_shoots_canned_drained,"Bamboo shoots, canned, drained",,"Bambou, pousses, appertisées, égouttées",1.990000,kgCO2e/kg_product,,"Bambou, pousses, appertisées, égouttées"
foodcarbon,20198,bamboo_shoots_raw,"Bamboo shoots, raw",,"Bambou, pousse, crue",1.130000,kgCO2e/kg_product,,"Bambou, pousse, crue"
foodcarbon,2366,banana_nectar,Banana nectar,,Nectar de banane,0.608000,kgCO2e/kg_product,,Nectar de banane
foodcarbon,13089,banana_pulp_dried,"Banana, pulp, dried",,"Banane, pulpe, sèche",2.200000,kgCO2e/kg_product,,"Banane, pulpe, sèche"
foodcarbon,13005,banana_pulp_raw,"Banana, pulp, raw",,"Banane, pulpe, crue",0.909000,kgCO2e/kg_product,,"Banane, pulpe, crue"
food-product,bananas_2010,bananas,Bananas,,,0.860000,kgCO2e/kg_product,2010,Bananas
foodcarbon,11100,barbecue_sauce_prepacked,"Barbecue sauce, prepacked",,"Sauce barbecue, préemballée",1.410000,kgCO2e/kg_product,,"Sauce barbecue, préemballée"
food-product,barley_2010,barley,Barley,,,1.180000,kgCO2e/kg_product,2010,Barley
foodcarbon,9550,barley_flour,Barley flour,,Farine d'orge,0.778000,kgCO2e/kg_product,,Farine d'orge
foodcarbon,9320,barley_whole_raw,"Barley, whole, raw",,"Orge entière, crue",0.586000,kgCO2e/kg_product,,"Orge entière, crue"
foodcarbon,11032,basil_dried,"Basil, dried",,"Basilic, séché",2.580000,kgCO2e/kg_product,,"Basilic, séché"
foodcarbon,11033,basil_fresh,"Basil, fresh",,"Basilic, frais",0.879000,kgCO2e/kg_product,,"Basilic, frais"
foodcarbon,9119,basmati_rice_raw,"Basmati rice, raw",,"Riz thaï ou basmati, cru",2.860000,kgCO2e/kg_product,,"Riz thaï ou basmati, cru"
foodcarbon,23803,basque_cake_shortbread_with_cherries,"Basque cake (shortbread), with cherries",,"Gâteau basque, cerises",2.580000,kgCO2e/kg_product,,"Gâteau basque, cerises"
foodcarbon,23802,basque_cake_shortbread_with_custard,"Basque cake (shortbread), with custard",,"Gâteau basque, crème pâtissière",2.580000,kgCO2e/kg_product,,"Gâteau basque, crème pâtissière"
foodcarbon,11170,basque_style_sauce_or_tomato_sauce_with_sweet_peppers_prepacked,"Basque-style sauce or tomato sauce with sweet peppers, prepacked",,"Sauce basquaise ou Sauce aux poivrons, préemballée",1.240000,kgCO2e/kg_product,,"Sauce basquaise ou Sauce aux poivrons, préemballée"
foodcarbon,11053,bay_leaves,"Bay, leaves",,"Laurier, feuille",1.870000,kgCO2e/kg_product,,"Laurier, feuille"
foodcarbon,28811,bayonne_cured_ham_raw_smoked,"Bayonne Cured ham, raw, smoked",,Jambon de Bayonne,13.600000,kgCO2e/kg_product,,Jambon de Bayonne
foodcarbon,20530,beans_mung_mature_seeds_dry,"Beans, mung, mature, seeds, dry",,"Haricot mungo, sec",0.574000,kgCO2e/kg_product,,"Haricot mungo, sec"
foodcarbon,11102,bearnaise_sauce_prepacked,"Bearnaise sauce, prepacked",,"Sauce béarnaise, préemballée",5.130000,kgCO2e/kg_product,,"Sauce béarnaise, préemballée"
foodcarbon,12105,beaufort_cheese_from_cow_s_milk,"Beaufort cheese, from cow's milk",,Beaufort,6.250000,kgCO2e/kg_product,,Beaufort
foodcarbon,11143,bechamel_sauce_home_made,"Bechamel sauce, home-made",,"Sauce béchamel, maison",2.330000,kgCO2e/kg_product,,"Sauce béchamel, maison"
foodcarbon,11101,bechamel_sauce_prepacked,"Bechamel sauce, prepacked",,"Sauce béchamel, préemballée",2.330000,kgCO2e/kg_product,,"Sauce béchamel, préemballée"
food-product,beef_beef_herd_2010,beef_beef_herd,Beef (beef herd),,,99.480000,kgCO2e/kg_product,2010,Beef (beef herd)
foodcarbon,6208,beef_bolar_blade_grilled_pan_fried,"Beef, bolar-blade, grilled/pan-fried",,"Boeuf, boule de macreuse, grillée/poêlée",36.700000,kgCO2e/kg_product,,"Boeuf, boule de macreuse, grillée/poêlée"
foodcarbon,6202,beef_bolar_blade_raw,"Beef, bolar-blade, raw",,"Boeuf, boule de macreuse, crue",28.900000,kgCO2e/kg_product,,"Boeuf, boule de macreuse, crue"
foodcarbon,6214,beef_bolar_blade_roasted_baked,"Beef, bolar-blade, roasted/baked",,"Boeuf, boule de macreuse, rôtie/cuite au four",36.600000,kgCO2e/kg_product,,"Boeuf, boule de macreuse, rôtie/cuite au four"
foodcarbon,6101,beef_braised,"Beef, braised",,"Boeuf, braisé",36.600000,kgCO2e/kg_product,,"Boeuf, braisé"
foodcarbon,6141,beef_cheek_braised_or_boiled,"Beef, cheek, braised or boiled",,"Boeuf, joue, braisée ou bouillie",29.500000,kgCO2e/kg_product,,"Boeuf, joue, braisée ou bouillie"
foodcarbon,6140,beef_cheek_raw,"Beef, cheek, raw",,"Boeuf, joue, crue",28.900000,kgCO2e/kg_product,,"Boeuf, joue, crue"
foodcarbon,6271,beef_chuck_braised_or_boiled,"Beef, chuck, braised or boiled",,"Boeuf, paleron, braisé ou bouilli",46.000000,kgCO2e/kg_product,,"Boeuf, paleron, braisé ou bouilli"
foodcarbon,6270,beef_chuck_raw,"Beef, chuck, raw",,"Boeuf, paleron, cru",36.200000,kgCO2e/kg_product,,"Boeuf, paleron, cru"
food-product,beef_dairy_herd_2010,beef_dairy_herd,Beef (dairy herd),,,33.300000,kgCO2e/kg_product,2010,Beef (dairy herd)
foodcarbon,6211,beef_flank_steak_grilled_pan_fried,"Beef, flank steak, grilled/pan-fried",,"Boeuf, bavette d'aloyau, grillée/poêlée",36.700000,kgCO2e/kg_product,,"Boeuf, bavette d'aloyau, grillée/poêlée"
foodcarbon,6212,beef_flank_steak_raw,"Beef, flank steak, raw",,"Boeuf, bavette d'aloyau, crue",28.900000,kgCO2e/kg_product,,"Boeuf, bavette d'aloyau, crue"
foodcarbon,6205,beef_hanger_steak_grilled,"Beef, hanger steak, grilled",,"Boeuf, onglet, grillé",36.600000,kgCO2e/kg_product,,"Boeuf, onglet, grillé"
foodcarbon,6204,beef_hanger_steak_raw,"Beef, hanger steak, raw",,"Boeuf, onglet, cru",28.900000,kgCO2e/kg_product,,"Boeuf, onglet, cru"
foodcarbon,6151,beef_knuckle_boiled_cooked_in_water,"Beef, knuckle, boiled/cooked in water",,"Boeuf, jarret, bouilli/cuit à l'eau",37.000000,kgCO2e/kg_product,,"Boeuf, jarret, bouilli/cuit à l'eau"
foodcarbon,6150,beef_knuckle_raw,"Beef, knuckle, raw",,"Boeuf, jarret, cru",29.100000,kgCO2e/kg_product,,"Boeuf, jarret, cru"
foodcarbon,25163,beef_meat_balls_cooked,"Beef, meat balls, cooked",,"Boeuf, boulettes cuites",32.200000,kgCO2e/kg_product,,"Boeuf, boulettes cuites"
foodcarbon,6253,beef_minced_steak_10_fat_cooked,"Beef, minced steak, 10% fat, cooked",,"Bœuf, steak haché 10% MG, cuit",45.200000,kgCO2e/kg_product,,"Bœuf, steak haché 10% MG, cuit"
foodcarbon,6252,beef_minced_steak_10_fat_raw,"Beef, minced steak, 10% fat, raw",,"Bœuf, steak haché 10% MG, cru",35.700000,kgCO2e/kg_product,,"Bœuf, steak haché 10% MG, cru"
foodcarbon,6255,beef_minced_steak_15_fat_cooked,"Beef, minced steak, 15% fat, cooked",,"Bœuf, steak haché 15% MG, cuit",45.200000,kgCO2e/kg_product,,"Bœuf, steak haché 15% MG, cuit"
foodcarbon,6254,beef_minced_steak_15_fat_raw,"Beef, minced steak, 15% fat, raw",,"Bœuf, steak haché 15% MG, cru",35.700000,kgCO2e/kg_product,,"Bœuf, steak haché 15% MG, cru"
foodcarbon,6257,beef_minced_steak_20_fat_cooked,"Beef, minced steak, 20% fat, cooked",,"Bœuf, steak haché 20% MG, cuit",45.200000,kgCO2e/kg_product,,"Bœuf, steak haché 20% MG, cuit"
foodcarbon,6256,beef_minced_steak_20_fat_raw,"Beef, minced steak, 20% fat, raw",,"Bœuf, steak haché 20% MG, cru",35.700000,kgCO2e/kg_product,,"Bœuf, steak haché 20% MG, cru"
foodcarbon,6251,beef_minced_steak_5_fat_cooked,"Beef, minced steak, 5% fat, cooked",,"Bœuf, steak haché 5% MG, cuit",45.200000,kgCO2e/kg_product,,"Bœuf, steak haché 5% MG, cuit"
foodcarbon,6250,beef_minced_steak_5_fat_raw,"Beef, minced steak, 5% fat, raw",,"Bœuf, steak haché 5% MG, cru",35.700000,kgCO2e/kg_product,,"Bœuf, steak haché 5% MG, cru"
foodcarbon,6241,beef_neck_braised,"Beef, neck, braised",,"Boeuf, collier, braisé",45.900000,kgCO2e/kg_product,,"Boeuf, collier, braisé"
